epoch,epoch_time,train_time,loss,prec,recall,ndcg,nov
1,6.551517009735107,1.2212796211242676,6256.6836,0.08775165562913402,0.2987424958405023,0.2225949177473531,2.0029021766498984
2,6.722641468048096,1.3004980087280273,5968.248,0.10155629139071869,0.34659681710232404,0.2575567901990318,2.0511264016651616
3,7.331641435623169,1.530505657196045,5823.7812,0.11471026490065518,0.40367393365344745,0.30546584716520997,2.3557744064992194
4,6.85400652885437,1.344423770904541,5743.317,0.12352814569535792,0.4375389236154966,0.34027530553836843,2.4156521740307544
