epoch,epoch_time,train_time,loss,prec,recall,ndcg,nov
1,5.294735431671143,0.8856353759765625,6256.6836,Prec@100,Recall@100,NDCG@100,Nov@100
2,6.05029296875,1.2476236820220947,5968.248,Prec@100,Recall@100,NDCG@100,Nov@100
3,6.731938600540161,1.2187652587890625,5823.7812,Prec@100,Recall@100,NDCG@100,Nov@100
4,6.703158378601074,1.6067593097686768,5743.317,Prec@100,Recall@100,NDCG@100,Nov@100
