epoch,epoch_time,train_time,loss,prec,recall,ndcg,nov
1,5.2065746784210205,0.9035847187042236,6256.6836,0.08775165562913402,0.2987424958405023,0.2225949177473531,2.0029021766498984
2,5.337372303009033,0.933499813079834,5968.248,0.10155629139071869,0.34659681710232404,0.2575567901990318,2.0511264016651616
3,5.2500011920928955,0.8327715396881104,5823.7812,0.11471026490065518,0.40367393365344745,0.30546584716520997,2.3557744064992194
4,5.267893075942993,0.9015653133392334,5743.317,0.12352814569535792,0.4375389236154966,0.34027530553836843,2.4156521740307544
